0.945,0.540385,-0.825048,-0.0367962
0.89,0.521605,-0.775376,-0.0326789
0.835,0.501086,-0.725526,-0.0287989
0.78,0.478852,-0.675572,-0.0251579
0.725,0.45493,-0.625591,-0.0217576
0.67,0.429349,-0.575659,-0.0185995
0.615,0.402141,-0.525854,-0.015685
0.56,0.373343,-0.47625,-0.0130155
0.505,0.342993,-0.426924,-0.0105922
0.45,0.311133,-0.377953,-0.00841617
0.395,0.277807,-0.329412,-0.00648837
0.34,0.243063,-0.281374,-0.00480971
0.285,0.20695,-0.233915,-0.00338094
0.23,0.16952,-0.187107,-0.00220271
0.175,0.130829,-0.141022,-0.00127555
0.12,0.0909341,-0.0957307,-0.000599892
0.065,0.0498939,-0.051302,-0.000176032
